-181.384, 61.290, 3.372,  8.728
-181.385, 61.177, 3.383,  8.761
-181.385, 61.064, 3.395,  8.794
-181.386, 60.951, 3.406,  8.827
-181.387, 60.837, 3.417,  8.860
-181.387, 60.723, 3.428,  8.893
-181.387, 60.608, 3.440,  8.926
-181.388, 60.493, 3.451,  8.959
-181.388, 60.378, 3.463,  8.992
-181.389, 60.262, 3.474,  9.025
-181.389, 60.146, 3.486,  9.058
-181.389, 60.030, 3.497,  9.091
-181.390, 59.913, 3.509,  9.124
-181.390, 59.795, 3.520,  9.157
-181.390, 59.678, 3.532,  9.190
-181.391, 59.560, 3.544,  9.223
-181.391, 59.441, 3.556,  9.256
-181.391, 59.323, 3.567,  9.289
-181.391, 59.203, 3.579,  9.322
-181.392, 59.084, 3.591,  9.355
-181.392, 58.964, 3.603,  9.388
-181.392, 58.843, 3.615,  9.421
-181.392, 58.723, 3.627,  9.454
-181.392, 58.601, 3.639,  9.487
-181.392, 58.480, 3.651,  9.520
-181.392, 58.358, 3.663,  9.553
-181.392, 58.235, 3.675,  9.586
-181.393, 58.112, 3.688,  9.619
-181.393, 57.989, 3.700,  9.652
-181.393, 57.866, 3.712,  9.685
-181.393, 57.742, 3.724,  9.718
-181.393, 57.617, 3.737,  9.751
-181.393, 57.492, 3.749,  9.784
-181.393, 57.367, 3.761,  9.817
-181.393, 57.241, 3.774,  9.850
-181.393, 57.115, 3.787,  9.883
-181.393, 56.989, 3.799,  9.916
-181.393, 56.862, 3.812,  9.949
-181.393, 56.734, 3.824,  9.982
-181.393, 56.606, 3.837, 10.015
-181.393, 56.478, 3.850, 10.048
-181.393, 56.350, 3.863, 10.081
-181.393, 56.220, 3.875, 10.114
-181.393, 56.091, 3.888, 10.147
-181.393, 55.961, 3.901, 10.180
-181.393, 55.831, 3.914, 10.213
-181.393, 55.700, 3.927, 10.246
-181.393, 55.569, 3.939, 10.279
-181.393, 55.437, 3.952, 10.312
-181.392, 55.305, 3.965, 10.345
-181.392, 55.172, 3.978, 10.378
-181.392, 55.040, 3.991, 10.411
-181.392, 54.906, 4.004, 10.444
-181.392, 54.772, 4.017, 10.477
-181.392, 54.638, 4.030, 10.510
-181.392, 54.504, 4.043, 10.543
-181.392, 54.368, 4.056, 10.576
-181.392, 54.233, 4.069, 10.609
-181.392, 54.097, 4.082, 10.642
-181.392, 53.961, 4.096, 10.675
-181.392, 53.824, 4.109, 10.708
-181.392, 53.686, 4.122, 10.741
-181.392, 53.549, 4.136, 10.774
-181.392, 53.410, 4.149, 10.807
-181.392, 53.272, 4.163, 10.840
-181.392, 53.133, 4.176, 10.873
-181.392, 52.993, 4.190, 10.906
-181.392, 52.853, 4.204, 10.939
-181.391, 52.713, 4.217, 10.972
-181.391, 52.572, 4.231, 11.005
-181.391, 52.430, 4.245, 11.038
-181.391, 52.288, 4.259, 11.071
-181.391, 52.146, 4.273, 11.104
-181.391, 52.003, 4.287, 11.137
-181.391, 51.860, 4.301, 11.170
-181.391, 51.716, 4.315, 11.203
-181.391, 51.572, 4.329, 11.236
-181.391, 51.428, 4.343, 11.269
-181.391, 51.282, 4.357, 11.302
-181.391, 51.137, 4.371, 11.335
-181.391, 50.991, 4.386, 11.368
-181.391, 50.844, 4.400, 11.401
-181.391, 50.697, 4.414, 11.434
-181.391, 50.550, 4.429, 11.467
-181.391, 50.402, 4.443, 11.500
-181.391, 50.253, 4.458, 11.533
-181.391, 50.104, 4.472, 11.566
-181.391, 49.955, 4.487, 11.599
-181.391, 49.805, 4.502, 11.632
-181.391, 49.654, 4.516, 11.665
-181.391, 49.504, 4.531, 11.698
-181.391, 49.352, 4.546, 11.731
-181.391, 49.200, 4.561, 11.764
-181.391, 49.048, 4.576, 11.797
-181.391, 48.895, 4.591, 11.830
-181.391, 48.741, 4.606, 11.863
-181.391, 48.588, 4.621, 11.896
-181.391, 48.433, 4.636, 11.929
-181.391, 48.278, 4.651, 11.962
-181.391, 48.123, 4.667, 11.995
-181.391, 47.967, 4.682, 12.028
-181.391, 47.810, 4.697, 12.061
-181.391, 47.653, 4.713, 12.094
-181.391, 47.496, 4.728, 12.127
-181.391, 47.338, 4.743, 12.160
-181.391, 47.179, 4.759, 12.193
-181.391, 47.020, 4.775, 12.226
-181.391, 46.861, 4.790, 12.259
-181.391, 46.701, 4.806, 12.292
-181.391, 46.540, 4.822, 12.325
-181.391, 46.379, 4.837, 12.358
-181.391, 46.217, 4.853, 12.391
-181.391, 46.055, 4.869, 12.424
-181.391, 45.893, 4.885, 12.457
-181.391, 45.729, 4.901, 12.490
-181.391, 45.566, 4.918, 12.523
-181.391, 45.401, 4.934, 12.556
-181.391, 45.236, 4.950, 12.589
-181.391, 45.071, 4.966, 12.622
-181.391, 44.905, 4.983, 12.655
-181.391, 44.738, 4.999, 12.688
-181.391, 44.571, 5.015, 12.721
-181.391, 44.404, 5.032, 12.754
-181.391, 44.236, 5.048, 12.787
-181.391, 44.067, 5.065, 12.820
-181.391, 43.898, 5.082, 12.853
-181.391, 43.728, 5.098, 12.886
-181.391, 43.558, 5.114, 12.919
-181.391, 43.387, 5.121, 12.952
-181.391, 43.217, 5.107, 12.985
-181.391, 43.047, 5.090, 13.018
-181.391, 42.878, 5.078, 13.051
-181.391, 42.709, 5.072, 13.084
-181.391, 42.540, 5.071, 13.117
-181.391, 42.371, 5.075, 13.150
-181.391, 42.202, 5.085, 13.183
-181.391, 42.032, 5.101, 13.216
-181.390, 41.861, 5.122, 13.249
-181.390, 41.690, 5.148, 13.282
-181.390, 41.517, 5.178, 13.315
-181.390, 41.344, 5.211, 13.348
-181.390, 41.169, 5.247, 13.381
-181.390, 40.993, 5.285, 13.414
-181.390, 40.815, 5.325, 13.447
-181.390, 40.637, 5.364, 13.480
-181.390, 40.457, 5.403, 13.513
-181.390, 40.276, 5.440, 13.546
-181.390, 40.093, 5.475, 13.579
-181.390, 39.910, 5.508, 13.612
-181.390, 39.726, 5.538, 13.645
-181.390, 39.540, 5.565, 13.678
-181.390, 39.354, 5.588, 13.711
-181.390, 39.167, 5.609, 13.744
-181.390, 38.980, 5.628, 13.777
-181.390, 38.792, 5.644, 13.810
-181.390, 38.604, 5.658, 13.843
-181.390, 38.415, 5.671, 13.876
-181.390, 38.226, 5.682, 13.909
-181.389, 38.036, 5.693, 13.942
-181.389, 37.847, 5.703, 13.975
-181.389, 37.656, 5.714, 14.008
-181.389, 37.466, 5.725, 14.041
-181.389, 37.275, 5.736, 14.074
-181.389, 37.083, 5.749, 14.107
-181.389, 36.891, 5.762, 14.140
-181.389, 36.699, 5.777, 14.173
-181.389, 36.506, 5.792, 14.206
-181.389, 36.313, 5.809, 14.239
-181.389, 36.119, 5.828, 14.272
-181.389, 35.924, 5.847, 14.305
-181.388, 35.729, 5.867, 14.338
-181.388, 35.532, 5.889, 14.371
-181.388, 35.336, 5.911, 14.404
-181.388, 35.138, 5.934, 14.437
-181.388, 34.940, 5.957, 14.470
-181.388, 34.741, 5.980, 14.503
-181.388, 34.541, 6.004, 14.536
-181.388, 34.340, 6.027, 14.569
-181.387, 34.138, 6.051, 14.602
-181.387, 33.936, 6.074, 14.635
-181.387, 33.733, 6.097, 14.668
-181.387, 33.529, 6.119, 14.701
-181.387, 33.325, 6.141, 14.734
-181.387, 33.120, 6.163, 14.767
-181.387, 32.914, 6.184, 14.800
-181.387, 32.707, 6.205, 14.833
-181.386, 32.500, 6.225, 14.866
-181.386, 32.292, 6.245, 14.899
-181.386, 32.084, 6.265, 14.932
-181.386, 31.874, 6.284, 14.965
-181.386, 31.664, 6.304, 14.998
-181.386, 31.454, 6.323, 15.031
-181.385, 31.243, 6.342, 15.064
-181.385, 31.031, 6.362, 15.097
-181.385, 30.818, 6.382, 15.130
-181.385, 30.605, 6.402, 15.163
-181.385, 30.391, 6.422, 15.196
-181.384, 30.177, 6.443, 15.229
-181.384, 29.962, 6.464, 15.262
-181.384, 29.746, 6.485, 15.295
-181.384, 29.529, 6.506, 15.328
-181.384, 29.312, 6.528, 15.361
-181.383, 29.094, 6.550, 15.394
-181.383, 28.875, 6.572, 15.427
-181.383, 28.655, 6.594, 15.460
-181.383, 28.435, 6.617, 15.493
-181.382, 28.214, 6.640, 15.526
-181.382, 27.992, 6.662, 15.559
-181.382, 27.769, 6.685, 15.592
-181.382, 27.546, 6.708, 15.625
-181.381, 27.322, 6.731, 15.658
-181.381, 27.097, 6.754, 15.691
-181.381, 26.871, 6.777, 15.724
-181.381, 26.645, 6.799, 15.757
-181.380, 26.418, 6.821, 15.790
-181.380, 26.190, 6.844, 15.823
-181.380, 25.961, 6.865, 15.856
-181.380, 25.732, 6.887, 15.889
-181.379, 25.502, 6.909, 15.922
-181.379, 25.271, 6.931, 15.955
-181.379, 25.040, 6.953, 15.988
-181.378, 24.807, 6.975, 16.021
-181.378, 24.574, 6.997, 16.054
-181.378, 24.341, 7.019, 16.087
-181.377, 24.106, 7.042, 16.120
-181.377, 23.871, 7.065, 16.153
